Algorithm,Strategy,Colour space,PSNR,SSIM,CIEDE2000,S-CIELAB,LPIPS,DreamSim
Floyd-Steinberg,Error-scaled (scale),CIEXYY,10.651019893425001,0.13971421472101617,25.95626971354456,16.785677907079794,0.6411240100860596,0.43158411979675293
Floyd-Steinberg,Error-scaled (weighted_target),RGB,10.55716947011861,0.05507920995222896,27.712750845237856,11.615179245592408,1.1839979887008667,0.023833513259887695
Floyd-Steinberg,Error-scaled (weighted_target),CIELAB,8.619017557980891,0.02592947874272238,29.04428551010067,14.96209566436742,1.2824445962905884,0.027861595153808594
Floyd-Steinberg,Error-scaled (weighted_target),CIEXYY,10.348890811986264,0.04873794762683583,28.636158390295833,14.779402289450555,0.8453693985939026,0.33966416120529175
Floyd-Steinberg,Error-scaled (confidence),RGB,11.421674396327594,0.07330685066439328,25.91660586687152,10.772164173971065,1.104209303855896,0.055384695529937744
Floyd-Steinberg,Error-scaled (confidence),CIELAB,9.197424629533085,0.06462833364410056,27.036338368867096,14.41095395789076,1.2056845426559448,0.062341153621673584
Floyd-Steinberg,Error-scaled (confidence),CIEXYY,10.506238624493953,0.07972376992311958,27.419451385481953,15.299485003955994,0.7890633940696716,0.3381038308143616
Jarvis-Judice-Ninke,Nearest-colour,RGB,10.554411427404492,0.05495537173953375,27.71525631392954,11.619906936547514,1.2550804615020752,0.021252930164337158
Jarvis-Judice-Ninke,Nearest-colour,CIELAB,8.618804956725445,0.02533876317143792,29.042682777232166,14.96077081421144,1.3084731101989746,0.02336221933364868
Jarvis-Judice-Ninke,Nearest-colour,CIEXYY,10.347551399427463,0.05070811044907539,28.65006225139283,14.758729684068157,0.8728398084640503,0.33311498165130615
Jarvis-Judice-Ninke,Weight-driven,RGB,11.376957325566552,0.3569749756726421,21.355577893170068,20.871248229683935,0.662090539932251,0.6176567673683167
Jarvis-Judice-Ninke,Weight-driven,CIELAB,11.376957325566554,0.3569749756727525,21.35557789317007,20.871248229683935,0.662090539932251,0.6169371604919434
Jarvis-Judice-Ninke,Weight-driven,CIEXYY,11.37695792885446,0.3569750467891147,21.35557809617891,20.871247927130355,0.662090539932251,0.6170792579650879
Jarvis-Judice-Ninke,Error-scaled (scale),RGB,12.30128908304539,0.12544147288661928,24.36291708160717,12.969321143473332,1.0500596761703491,0.10351216793060303
Jarvis-Judice-Ninke,Error-scaled (scale),CIELAB,9.820508240610774,0.08450513849591261,25.153522542982127,15.145083600081941,1.1952111721038818,0.11475872993469238
Jarvis-Judice-Ninke,Error-scaled (scale),CIEXYY,10.70311995341527,0.1469224237151212,25.6244036723574,17.05089669110839,0.6764938831329346,0.42975205183029175
Jarvis-Judice-Ninke,Error-scaled (weighted_target),RGB,10.617050508155225,0.059353261131769114,27.607182946349006,11.645755076787028,1.2274694442749023,0.03670048713684082
Jarvis-Judice-Ninke,Error-scaled (weighted_target),CIELAB,8.630245702678941,0.02862791989637121,28.983579647181426,14.96392191734015,1.3002187013626099,0.031890869140625
Jarvis-Judice-Ninke,Error-scaled (weighted_target),CIEXYY,10.354219748741256,0.048230118470087395,28.614829285508186,14.828508689129004,0.8596528768539429,0.3431064486503601
Jarvis-Judice-Ninke,Error-scaled (confidence),RGB,11.597489683801198,0.07442835892369896,25.560283699287677,10.90494180700446,1.1606976985931396,0.06272625923156738
Jarvis-Judice-Ninke,Error-scaled (confidence),CIELAB,9.257374315669114,0.06706391012612133,26.710937947358772,14.411047601835092,1.2451196908950806,0.06634587049484253
Jarvis-Judice-Ninke,Error-scaled (confidence),CIEXYY,10.546029780644165,0.08539837305008359,27.103022507492383,15.519511085614024,0.8016639947891235,0.3493397831916809
