Image,Algorithm,Strategy,Colour space,PSNR,SSIM,CIEDE2000,S-CIELAB,LPIPS,DreamSim
blue-gradient,Jarvis-Judice-Ninke,Error-scaled (confidence),CIELAB,14.4605152186,0.0821153128146,14.7410829714,7.55386131817,0.570906400681,0.139060497284
blue-gradient,Jarvis-Judice-Ninke,Error-scaled (confidence),CIEXYY,13.0995042492,0.0988995353619,16.2362793718,12.886211594,0.657069027424,0.182679712772
blue-gradient,Stucki,Nearest-colour,RGB,11.5269770247,0.0497906999835,19.0647029265,14.8205353551,0.686464965343,0.210868120193
blue-gradient,Stucki,Nearest-colour,CIELAB,12.2200758787,0.0424895438755,18.2830121077,11.8789073186,0.628830552101,0.199840128422
blue-gradient,Stucki,Nearest-colour,CIEXYY,12.2928896483,0.078694588938,17.6849034129,13.0415427297,0.678234279156,0.246824979782
blue-gradient,Stucki,Weight-driven,RGB,16.8282900728,0.204892843767,12.3962176591,11.6197572197,0.652568995953,0.499280035496
blue-gradient,Stucki,Weight-driven,CIELAB,16.8282900728,0.204892843767,12.3962176591,11.6197572197,0.652568995953,0.499536693096
blue-gradient,Stucki,Weight-driven,CIEXYY,16.8282905215,0.204892877993,12.3962168937,11.6197567794,0.652569055557,0.499981999397
blue-gradient,Stucki,Weighted-nearest (α=0.5),RGB,16.7911459263,0.204800679772,12.4070857044,11.5426941773,0.652073323727,0.485459148884
blue-gradient,Stucki,Weighted-nearest (α=0.5),CIELAB,16.7902668079,0.20451189182,12.40908273,11.5485166925,0.650593698025,0.491017103195
blue-gradient,Stucki,Weighted-nearest (α=0.5),CIEXYY,16.8305058397,0.2050055444,12.3871600097,11.5719848982,0.653423547745,0.492365777493
blue-gradient,Stucki,Softmax (α=0.5),RGB,11.751470022,0.0651521454177,17.2871101321,14.7229776944,0.74954688549,0.341561555862
blue-gradient,Stucki,Softmax (α=0.5),CIELAB,12.2328146618,0.0430854955268,18.2625502985,11.877870317,0.629850745201,0.204737186432
blue-gradient,Stucki,Softmax (α=0.5),CIEXYY,16.3467302781,0.194887238343,12.4043982698,10.6744479132,0.689746618271,0.447752535343
blue-gradient,Stucki,Error-scaled (scale),RGB,16.6406111829,0.168093877287,12.2052119293,7.19293492464,0.494660407305,0.151609539986
blue-gradient,Stucki,Error-scaled (scale),CIELAB,15.8807628516,0.120000273922,13.0864530078,9.04889406469,0.521512806416,0.162941992283
blue-gradient,Stucki,Error-scaled (scale),CIEXYY,14.2587812873,0.184306310143,14.8222051858,13.6705825648,0.68602091074,0.221362471581
blue-gradient,Stucki,Error-scaled (weighted_target),RGB,11.6953240503,0.0651744814107,18.7371545691,14.971540106,0.708399116993,0.233889997005
blue-gradient,Stucki,Error-scaled (weighted_target),CIELAB,12.3058515274,0.051504105419,18.1388257481,11.7604538923,0.634398162365,0.220283746719
blue-gradient,Stucki,Error-scaled (weighted_target),CIEXYY,12.379628532,0.0951830813189,17.5485552947,13.1045747908,0.697339117527,0.274286568165
blue-gradient,Stucki,Error-scaled (confidence),RGB,15.6347270874,0.124522776942,13.3081149584,6.30042484806,0.466086506844,0.105996966362
blue-gradient,Stucki,Error-scaled (confidence),CIELAB,14.410136466,0.0807210699707,14.8142091728,7.53474374103,0.525000810623,0.137180805206
blue-gradient,Stucki,Error-scaled (confidence),CIEXYY,13.0731765078,0.096589312257,16.2756956087,12.8677391497,0.60971558094,0.181948423386
blue-graphic-tshirt,Floyd-Steinberg,Nearest-colour,RGB,12.9135813799,0.0724417844052,13.5086970444,14.6645435658,1.03729307652,0.0382106304169
blue-graphic-tshirt,Floyd-Steinberg,Nearest-colour,CIELAB,12.0297598858,0.064300608475,13.479701095,15.6209603939,1.0997415781,0.0348801016808
blue-graphic-tshirt,Floyd-Steinberg,Nearest-colour,CIEXYY,12.5406303553,0.11942021882,16.5956367652,17.8267947793,1.00119042397,0.209362506866
blue-graphic-tshirt,Floyd-Steinberg,Weight-driven,RGB,18.9362827848,0.787091872525,6.82705344331,6.67673713946,0.0850676372647,0.0684679150581
blue-graphic-tshirt,Floyd-Steinberg,Weight-driven,CIELAB,18.9362827848,0.787091872525,6.82705344331,6.67673713946,0.0850676372647,0.0650437474251
blue-graphic-tshirt,Floyd-Steinberg,Weight-driven,CIEXYY,18.9362827099,0.787091821256,6.82705343062,6.6767365214,0.0850676372647,0.0663408041
blue-graphic-tshirt,Floyd-Steinberg,Weighted-nearest (α=0.5),RGB,15.6007631362,0.467188072808,8.33106740228,6.13866816206,0.469144195318,0.0793539881706
blue-graphic-tshirt,Floyd-Steinberg,Weighted-nearest (α=0.5),CIELAB,18.9429650212,0.787246514915,6.82404515474,6.70127094994,0.0850039795041,0.0656286478043
blue-graphic-tshirt,Floyd-Steinberg,Weighted-nearest (α=0.5),CIEXYY,18.9390316585,0.787213236635,6.82609980696,6.68986503128,0.0851001217961,0.0661444067955
blue-graphic-tshirt,Floyd-Steinberg,Softmax (α=0.5),RGB,12.1642147105,0.067606283406,13.4059002515,14.9038250414,1.03876674175,0.0368037819862
blue-graphic-tshirt,Floyd-Steinberg,Softmax (α=0.5),CIELAB,12.0513182975,0.0644421952975,13.471819112,15.5893801143,1.10514473915,0.0345416665077
blue-graphic-tshirt,Floyd-Steinberg,Softmax (α=0.5),CIEXYY,19.0876406808,0.786671012283,6.90912489431,6.70657213899,0.0912350192666,0.0662377476692
blue-graphic-tshirt,Floyd-Steinberg,Error-scaled (scale),RGB,19.316395331,0.781753209819,7.03500827789,6.04126282188,0.116435535252,0.0548492074013
blue-graphic-tshirt,Floyd-Steinberg,Error-scaled (scale),CIELAB,18.6267242607,0.725588664918,7.13583534725,6.08920642254,0.139037132263,0.0412081480026
blue-graphic-tshirt,Floyd-Steinberg,Error-scaled (scale),CIEXYY,17.1526291051,0.685418458988,8.63422713927,5.56481725318,0.400160908699,0.128196656704
blue-graphic-tshirt,Floyd-Steinberg,Error-scaled (weighted_target),RGB,13.2335031786,0.0824674608695,13.3033147297,14.6957854452,1.00487327576,0.0474042892456
blue-graphic-tshirt,Floyd-Steinberg,Error-scaled (weighted_target),CIELAB,12.1078008854,0.0735158723634,13.2933977087,15.642057314,1.08301079273,0.0372589826584
blue-graphic-tshirt,Floyd-Steinberg,Error-scaled (weighted_target),CIEXYY,12.6704138147,0.125179698223,16.4956118574,17.8880129921,0.982065498829,0.208741366863
blue-graphic-tshirt,Floyd-Steinberg,Error-scaled (confidence),RGB,17.2996044309,0.692106372198,8.43025210167,4.8139995265,0.391655862331,0.0681074857712
blue-graphic-tshirt,Floyd-Steinberg,Error-scaled (confidence),CIELAB,15.1186751086,0.675542759856,8.95939242806,10.197764664,0.454844415188,0.0783581137657
blue-graphic-tshirt,Floyd-Steinberg,Error-scaled (confidence),CIEXYY,16.3107417984,0.676793216467,9.49675961224,8.23527913536,0.364508718252,0.100997745991
blue-graphic-tshirt,Jarvis-Judice-Ninke,Nearest-colour,RGB,13.1490658752,0.0802658176944,13.3418272605,14.693920402,1.02737915516,0.0437831282616
blue-graphic-tshirt,Jarvis-Judice-Ninke,Nearest-colour,CIELAB,12.1520120788,0.0715528575283,13.2826530269,15.5833759127,1.04918158054,0.0365751981735
blue-graphic-tshirt,Jarvis-Judice-Ninke,Nearest-colour,CIEXYY,12.6489364887,0.122735378868,16.5296799721,17.8931179593,0.997040092945,0.211466908455
blue-graphic-tshirt,Jarvis-Judice-Ninke,Weight-driven,RGB,18.9362827848,0.787091872525,6.82705344331,6.67673713946,0.0850676372647,0.0684679150581
blue-graphic-tshirt,Jarvis-Judice-Ninke,Weight-driven,CIELAB,18.9362827848,0.787091872525,6.82705344331,6.67673713946,0.0850676372647,0.0650437474251
blue-graphic-tshirt,Jarvis-Judice-Ninke,Weight-driven,CIEXYY,18.9362827099,0.787091821256,6.82705343062,6.6767365214,0.0850676372647,0.0663408041
blue-graphic-tshirt,Jarvis-Judice-Ninke,Weighted-nearest (α=0.5),RGB,15.5686099836,0.467054577454,8.35534972798,6.12523316719,0.46176341176,0.0750396847725
blue-graphic-tshirt,Jarvis-Judice-Ninke,Weighted-nearest (α=0.5),CIELAB,18.9463359916,0.787287221788,6.82309681592,6.70585602329,0.0852648839355,0.0660778284073
blue-graphic-tshirt,Jarvis-Judice-Ninke,Weighted-nearest (α=0.5),CIEXYY,18.9408576198,0.787243319662,6.82559518377,6.69262579406,0.0850853025913,0.0662348866463
blue-graphic-tshirt,Jarvis-Judice-Ninke,Softmax (α=0.5),RGB,12.2793364905,0.0828723299172,13.2059307867,14.889797906,1.01446938515,0.046365737915
blue-graphic-tshirt,Jarvis-Judice-Ninke,Softmax (α=0.5),CIELAB,12.084132704,0.070597595751,13.2276725454,15.5556935626,1.04267609119,0.0376533269882
blue-graphic-tshirt,Jarvis-Judice-Ninke,Softmax (α=0.5),CIEXYY,18.9863385608,0.785528991608,6.93413410332,6.77389321675,0.0926084071398,0.0659556388855
blue-graphic-tshirt,Jarvis-Judice-Ninke,Error-scaled (scale),RGB,19.4391152974,0.78540114448,6.97243794882,6.17869649753,0.104697242379,0.0530087351799
blue-graphic-tshirt,Jarvis-Judice-Ninke,Error-scaled (scale),CIELAB,18.8489998467,0.732863623782,7.012053627,6.13053748142,0.148615643382,0.0416009426117
blue-graphic-tshirt,Jarvis-Judice-Ninke,Error-scaled (scale),CIEXYY,17.7493520792,0.688303600365,8.14140800587,4.61515394883,0.409621059895,0.108763694763
blue-graphic-tshirt,Jarvis-Judice-Ninke,Error-scaled (weighted_target),RGB,13.5951770502,0.0935343923308,13.0968946923,14.726339148,0.996153891087,0.0551302433014
blue-graphic-tshirt,Jarvis-Judice-Ninke,Error-scaled (weighted_target),CIELAB,12.2408018842,0.0871020148974,13.0783249052,15.5719498598,1.03009545803,0.0436495542526
blue-graphic-tshirt,Jarvis-Judice-Ninke,Error-scaled (weighted_target),CIEXYY,12.8475697429,0.131574113044,16.3845082456,18.0242045481,0.986600518227,0.214876651764
blue-graphic-tshirt,Jarvis-Judice-Ninke,Error-scaled (confidence),RGB,17.8241811296,0.698764890339,8.01487733346,4.32037315757,0.380691766739,0.0595554113388
blue-graphic-tshirt,Jarvis-Judice-Ninke,Error-scaled (confidence),CIELAB,16.3188263336,0.685216912276,8.22927802994,6.30545602691,0.4098559618,0.0721073746681
